-3148,4920,-16964,-1443,1426,2502,swipe_right,5
-2368,4864,-16508,-2410,2009,5974,swipe_right,5
660,6000,-15108,-2441,-688,9450,swipe_right,5
2352,7228,-15424,-175,1108,3812,swipe_right,5
2360,6576,-16580,227,862,417,swipe_right,5
836,6364,-16104,-388,514,-487,swipe_right,5
804,6532,-16044,16,544,-144,swipe_right,5
964,6460,-16240,-213,288,-207,swipe_right,5
656,6724,-16224,-65,493,-466,swipe_right,5
352,6244,-16104,-116,608,-275,swipe_right,5
652,6348,-16304,-10,288,-184,swipe_right,5
424,6340,-16236,-7,353,-142,swipe_right,5
452,6176,-16360,-307,633,-164,swipe_right,5
604,5788,-16312,-295,371,97,swipe_right,5
-2136,4756,-16696,-390,929,449,swipe_right,6
-2236,4608,-16540,-179,518,-276,swipe_right,6
-2184,4484,-16648,-66,408,-143,swipe_right,6
-2288,4432,-16524,-410,566,7,swipe_right,6
-2320,4396,-16644,-408,243,-329,swipe_right,6
-2452,4364,-16680,-481,464,-27,swipe_right,6
-2536,4592,-16692,-392,829,-79,swipe_right,6
-3312,4600,-16944,-975,1449,936,swipe_right,6
-3528,4720,-17300,-3191,386,4944,swipe_right,6
-2456,6152,-15328,-2155,1786,7800,swipe_right,6
1296,7064,-14808,-841,224,6330,swipe_right,6
2604,6612,-15756,220,-112,2121,swipe_right,6
600,6940,-16340,-491,708,-379,swipe_right,6
148,6708,-16172,-277,531,-682,swipe_right,6
308,6812,-15828,-105,576,-31,swipe_right,6
200,6660,-16196,-188,526,-304,swipe_right,6
440,6912,-16156,-274,1048,-256,swipe_right,6
124,6560,-16240,-68,1062,-1167,swipe_right,6
-224,6592,-16104,-314,756,-554,swipe_right,6
332,6640,-16072,-62,554,228,swipe_right,6
-2052,4716,-16612,-354,728,108,swipe_right,7
-1984,4980,-16660,-275,772,-77,swipe_right,7
-1996,4672,-16580,-377,768,-46,swipe_right,7
-2048,4712,-16704,-271,501,-163,swipe_right,7
-2304,4508,-16672,-468,836,165,swipe_right,7
-3720,4284,-17200,-1848,1660,1998,swipe_right,7
