-260,4016,-16800,-831,498,603,idle,0
-480,3772,-17064,-210,255,-170,idle,0
-620,4184,-16144,-1070,689,-62,idle,0
-540,2912,-17632,930,684,499,idle,0
-680,3100,-17580,-460,731,240,idle,0
-496,3728,-17116,-987,729,908,idle,0
100,3976,-16796,-413,1031,-33,idle,0
76,3984,-16968,-340,138,28,idle,0
-728,3584,-17148,-382,1282,-883,idle,0
-668,3736,-17152,-408,969,-91,idle,0
-296,3936,-16856,456,55,566,idle,0
-808,3788,-17208,-265,691,-33,idle,0
-468,3684,-17176,-3,468,-488,idle,0
-688,3936,-17020,-366,709,357,idle,0
-520,3936,-16724,-292,690,-143,idle,0
-768,3732,-16976,-21,893,30,idle,0
-460,3804,-16948,-503,602,5,idle,0
-768,3748,-16956,-611,1229,53,idle,0
-60,3848,-16936,-621,1017,-166,idle,0
-796,4084,-16808,-168,406,-323,idle,0
-200,2792,-17384,-1371,-156,786,idle,1
-928,3560,-17476,-337,1311,-883,idle,1
-956,3896,-16648,-55,605,366,idle,1
-272,3864,-17112,-454,768,83,idle,1
-536,3588,-17128,-61,338,-244,idle,1
-1452,3660,-16960,-713,1055,-617,idle,1
-88,3768,-17032,-437,1065,18,idle,1
-1068,3820,-17044,-686,943,-108,idle,1
-232,3644,-17552,-566,120,812,idle,1
-68,4064,-16880,136,-120,349,idle,1
-972,3736,-17220,-26,337,-51,idle,1
0,4060,-16888,-1720,291,207,idle,1
-804,4252,-17060,233,7,93,idle,1
-888,4312,-16840,-369,-163,256,idle,1
-744,4228,-16712,-126,751,38,idle,1
-552,4120,-17084,-229,840,-207,idle,1
-988,4084,-17040,-207,565,156,idle,1
-872,4196,-16900,-204,933,-57,idle,1
-724,4164,-16912,-280,974,100,idle,1
-652,4020,-16992,-137,595,104,idle,1
-740,3360,-17228,680,-16,1736,idle,2
-764,4056,-16556,-886,840,676,idle,2
-64,3740,-17384,-708,1084,762,idle,2
-604,3532,-16760,-428,-73,453,idle,2
-380,3920,-17588,-417,1082,744,idle,2
-52,4028,-17108,-43,845,-358,idle,2
-324,4004,-16732,-127,612,80,idle,2
-396,3712,-17084,-68,695,-13,idle,2
140,3740,-17080,-351,47,666,idle,2
-600,3760,-17156,31,549,-279,idle,2
-68,3688,-17372,-206,713,593,idle,2
-220,3620,-17108,-286,610,-153,idle,2
-136,3664,-16892,-184,966,235,idle,2
-144,4028,-17172,-381,769,47,idle,2
60,3888,-16972,-567,474,-184,idle,2
-400,3524,-17044,-193,877,-12,idle,2
-76,3464,-17296,-102,974,-247,idle,2
-80,3940,-17088,-899,929,-451,idle,2
-196,3804,-17100,-137,134,-365,idle,2
-432,3928,-17416,-250,288,-302,idle,2
-920,3152,-17016,-384,700,-2,idle,3
-1008,3016,-17144,-241,923,-275,idle,3
-924,3064,-17180,-446,878,-57,idle,3
-796,3372,-17028,-387,883,-158,idle,3
-948,3028,-17124,-198,1066,59,idle,3
-1076,3056,-17056,-135,952,-278,idle,3
-796,3192,-17204,-221,967,4,idle,3
-876,3068,-17148,-215,544,383,idle,3
-736,3120,-17064,-298,352,293,idle,3
-1036,3024,-17264,-336,795,146,idle,3
-788,3240,-17220,-261,560,-91,idle,3
-852,2980,-17056,-68,601,61,idle,3
-864,3140,-17168,-83,564,0,idle,3
-920,3260,-17288,-274,753,-43,idle,3
-340,2976,-17280,-357,642,227,idle,3
-1044,3056,-17440,-141,522,-161,idle,3
-796,2908,-17172,-204,475,16,idle,3
