-656,2380,-17656,-374,400,965,swipe_left,0
-1276,2444,-17408,-952,67,914,swipe_left,0
-724,2756,-17372,-504,-305,2304,swipe_left,0
488,3204,-17100,-348,-958,2936,swipe_left,0
2108,3548,-16688,-406,852,-3281,swipe_left,0
-832,3116,-15568,1415,2127,-9055,swipe_left,0
-3820,32,-17284,2642,1654,-4711,swipe_left,0
-1852,-380,-18592,46,86,235,swipe_left,0
-496,1796,-17524,-1315,-435,1246,swipe_left,0
-656,1552,-17356,-563,351,243,swipe_left,0
-1296,1532,-17008,-216,570,47,swipe_left,0
-1460,1272,-17712,-33,400,-98,swipe_left,0
-1108,1592,-17228,-617,664,104,swipe_left,0
-1392,1304,-17500,-84,610,-32,swipe_left,0
-1268,1784,-17276,-391,649,14,swipe_left,0
-1232,1664,-17424,-252,670,-84,swipe_left,0
-1408,1448,-17476,-273,625,-214,swipe_left,0
-1188,1556,-17388,-300,543,36,swipe_left,0
-1308,1760,-17328,-234,690,-82,swipe_left,0
-1392,1584,-17292,-345,667,-85,swipe_left,0
-1308,3404,-16904,-16,717,161,swipe_left,1
-1912,3320,-17088,-89,842,218,swipe_left,1
-1512,2912,-17192,237,747,970,swipe_left,1
-1096,3244,-17132,42,667,1485,swipe_left,1
-748,2980,-17340,-205,614,962,swipe_left,1
12,4100,-17404,-483,557,-648,swipe_left,1
1772,3740,-16400,-1602,459,-5251,swipe_left,1
-1100,3156,-16528,411,1509,-11025,swipe_left,1
-6060,1200,-16400,3699,4948,3807,swipe_left,1
-2372,992,-18604,-111,102,-10,swipe_left,1
-676,1220,-17328,-767,284,52,swipe_left,1
-1180,1156,-17312,-238,359,110,swipe_left,1
-1272,1340,-17352,-848,676,198,swipe_left,1
-904,1704,-17124,-793,629,147,swipe_left,1
-1296,1492,-17544,-202,74,-188,swipe_left,1
-1088,1952,-17592,-777,269,217,swipe_left,1
-1104,1740,-17184,-380,647,-142,swipe_left,1
-1212,1800,-17484,-357,790,-111,swipe_left,1
-1360,1872,-17436,-521,508,226,swipe_left,1
-1160,2468,-17372,-532,361,568,swipe_left,1
-448,3808,-17052,237,170,-425,swipe_left,2
-356,4124,-16884,4,699,145,swipe_left,2
-264,3992,-17164,-181,813,507,swipe_left,2
-72,4124,-17112,-207,630,326,swipe_left,2
-264,3720,-17184,-181,456,-78,swipe_left,2
-192,3980,-17172,-227,780,213,swipe_left,2
468,3948,-17208,-215,28,-63,swipe_left,2
3496,4032,-17368,-510,-724,-975,swipe_left,2
1156,4932,-16284,1114,411,-11703,swipe_left,2
-4476,1436,-16956,3480,1608,-12160,swipe_left,2
-3992,-1592,-19212,1240,580,-206,swipe_left,2
-1700,1232,-17324,-493,656,567,swipe_left,2
-1652,1732,-17468,-385,749,238,swipe_left,2
-1844,1612,-17172,-679,951,207,swipe_left,2
-1608,1564,-17156,-571,904,65,swipe_left,2
-1660,1852,-17448,-490,830,175,swipe_left,2
-1636,1568,-17380,-395,686,-63,swipe_left,2
-1296,1800,-17432,-408,933,15,swipe_left,2
-1564,1704,-17060,-268,930,80,swipe_left,2
-1184,1852,-17588,-189,652,46,swipe_left,2
-1312,2804,-17200,-26,615,414,swipe_left,3
-1644,2656,-17164,-383,1039,302,swipe_left,3
-1372,2460,-17176,-187,754,768,swipe_left,3
-1344,2720,-17168,44,861,644,swipe_left,3
-968,2412,-17256,146,-2302,447,swipe_left,3
-1568,2488,-17320,-261,602,453,swipe_left,3
40,3140,-17772,-730,554,-169,swipe_left,3
1352,2856,-16132,-2387,692,-6413,swipe_left,3
-5648,2192,-17908,350,2402,-9248,swipe_left,3
-5744,732,-17492,1685,2430,1614,swipe_left,3
-1444,1588,-18040,-116,-40,927,swipe_left,3
-1532,1616,-17160,-192,535,299,swipe_left,3
-1848,1620,-17436,-1147,1101,173,swipe_left,3
-1240,1968,-17176,-670,218,-131,swipe_left,3
-1356,2192,-17048,-842,346,451,swipe_left,3
-1572,2404,-17252,-518,671,612,swipe_left,3
-1504,2664,-17456,-911,329,898,swipe_left,3
-1008,2544,-16788,-495,212,595,swipe_left,3
-1444,2728,-17312,-427,733,62,swipe_left,3
-1684,2612,-17028,-350,735,131,swipe_left,3
-1920,4200,-16440,132,552,201,swipe_left,4
-1820,4128,-16944,-252,571,512,swipe_left,4
-1844,4304,-16924,-21,692,119,swipe_left,4
-1012,4336,-16812,-553,962,404,swipe_left,4
